Originating Time,Confidence,AU04_i,AU04_o,AU06_i,AU06_o,AU07_i,AU07_o,AU10_i,AU10_o,AU12_i,AU12_o,AU14_i,AU14_o,AU01_i,AU01_o,AU02_i,AU02_o,AU05_i,AU05_o,AU09_i,AU09_o,AU15_i,AU15_o,AU17_i,AU17_o,AU20_i,AU20_o,AU23_i,AU23_o,AU25_i,AU25_o,AU26_i,AU26_o,AU45_i,AU45_o
199.426,0.98,0.8,1,0,0,0,1,0,0,0,0,1.24,1,0,0,0,0,0.1,0,0,0,0.1,0,0.38,0,0,0,0,1,0.38,0,0,0,0.64,1
199.759,0.98,0.68,1,0,0,0,0,0,0,0,0,0.9,1,0,0,0,0,0,0,0,0,0,0,0.64,1,0.01,0,0,1,0.2,0,0,0,0,0
200.093,0.98,0.38,1,0,0,0,0,0,0,0,0,0.95,1,0,0,0,0,0,1,0,0,0,0,0.64,0,0,0,0.04,0,0.4,0,0,0,0,0
200.426,0.98,0.51,1,0,0,0,0,0,0,0,0,0.83,1,0,0,0,0,0,0,0,0,0.15,0,0.61,0,0,0,0,0,0.27,0,0,0,0.04,0
200.76,0.98,0.9,1,0.03,0,0.02,1,0.06,0,0,0,0.93,1,0,0,0,0,0,0,0,0,0.19,1,0.35,0,0,0,0,0,1.04,1,0.03,0,0.01,1
201.093,0.98,0.73,1,0,0,0.02,0,0,0,0,0,0.75,1,0,0,0,0,0,0,0,0,0.04,0,0.7,1,0.07,0,0.06,0,0.65,0,0,0,0,0
201.426,0.98,0.97,1,0,0,0.15,1,0,0,0,0,0.81,1,0,0,0,0,0,0,0,0,0.37,1,0.44,0,0,0,0,0,1.6,1,0.46,1,0,0
201.76,0.98,0.97,1,0,0,0,1,0.07,0,0,0,0.8,1,0,0,0,0,0,0,0,0,0.1,1,0.3,0,0,0,0,0,1.28,1,0.06,1,0,0
202.093,0.98,0.56,0,0,0,0,0,0,0,0,0,0.74,1,0,0,0,0,0,0,0,0,0.06,0,0.18,0,0,0,0,0,0.75,0,0.06,0,0,0
202.427,0.98,0.61,1,0,0,0,0,0,0,0,0,0.71,1,0,0,0,0,0,1,0,0,0.03,1,0.42,0,0,0,0,0,0.59,0,0.18,0,0,0
202.76,0.98,0.57,1,0,0,0,0,0,0,0,0,0.68,1,0,0,0,0,0,1,0,0,0.03,0,0.34,0,0.02,0,0,0,0.42,0,0.17,0,0,0
203.094,0.98,0.83,1,0,0,0.02,0,0,0,0,0,0.61,1,0,0,0,0,0,0,0,0,0.01,1,0.8,1,0.03,0,0,1,0.97,1,0.83,1,0,0
203.427,0.98,0.34,0,0,0,0.03,0,0,0,0.04,0,1.16,1,0,0,0,0,0,0,0,0,0,0,1.08,1,0.9,1,0.41,1,1.17,1,0.99,1,0,0
203.761,0.98,0.27,1,0,0,0.02,1,0,0,0.1,1,1.54,1,0,0,0,0,0,1,0,0,0,0,0.5,0,1.06,1,0.39,1,1.57,1,0.68,0,0,0
204.094,0.98,0.34,0,0,0,0.13,1,0,0,0.1,1,1.76,1,0,0,0,0,0,1,0,0,0,0,0.32,0,0.86,1,0.26,1,1.84,1,0.69,0,0,0
204.428,0.93,0.38,0,0,0,0.02,1,0,0,0.11,1,1.65,1,0,0,0,0,0,1,0,0,0,0,0.36,0,0.82,1,0.19,1,1.61,1,0.03,0,0,0
204.761,0.93,0.93,1,0.1,0,0.18,1,0,0,0.29,1,1.3,1,0,0,0,0,0.06,1,0,0,0,0,0.22,1,0.83,1,0,1,1.3,1,0.1,0,0.75,1
205.095,0.88,0.59,0,0,0,0.38,1,0,0,0.27,0,1.96,1,0.17,0,0,0,0,1,0.06,0,0,0,0.02,0,0,0,0,0,0.66,1,1.5,0,0.13,0
205.428,0.88,0.33,0,0,0,0.04,1,0,0,0.14,0,1.25,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.35,0,0.55,1,0.73,0,0,0
205.762,0.88,0.71,0,0,0,0,1,0,0,0.35,1,1.87,1,0.05,0,0,0,0,1,0.07,0,0,0,0.12,0,0.05,0,0.16,0,0.94,1,0.64,0,0.41,1
206.095,0.98,0.71,1,0.39,0,0.23,1,0,0,0.56,1,1.94,1,0,0,0,0,0,0,0,0,0,0,0.14,0,0.48,1,0.29,1,1.32,1,0.2,0,0.09,0
206.429,0.98,0.57,1,0.92,1,0.67,1,0.01,0,0.7,1,2.22,1,0,0,0,0,0,0,0.02,0,0,0,0.25,0,0.94,1,0.53,1,1.55,1,0.37,0,0,0
206.762,0.98,0.78,1,0.66,1,0.4,1,0,0,0.54,1,1.49,1,0,0,0,0,0,0,0.09,0,0,0,0.27,0,0.32,1,0.23,1,1.51,1,0.1,0,0.21,0
207.096,0.98,0.57,1,0.67,1,0.31,1,0,0,0.51,1,1.16,1,0,0,0,0,0,0,0,0,0,0,0.11,0,0.54,1,0.04,1,1.55,1,0.04,0,0,0
207.429,0.98,0.73,1,0.88,1,0.37,1,0.02,0,0.51,1,1.39,1,0,0,0,0,0,0,0,0,0,0,0.18,0,0.31,1,0.22,1,1.47,1,0.11,0,0.05,0
207.763,0.98,0.66,1,0.81,1,0.38,1,0.05,0,0.65,1,1.49,1,0,0,0,0,0,0,0,0,0,0,0.29,0,0.5,1,0.23,1,1.4,1,0.01,0,0,0
208.096,0.98,0.77,1,0.89,1,0.46,1,0.01,0,0.41,0,1.57,1,0,0,0.01,0,0,0,0,0,0,0,0.32,0,0.39,1,0.17,1,0.83,1,0,0,0,0
208.43,0.98,0.93,1,0.9,1,0.59,1,0.01,0,0.23,0,1.34,1,0,0,0.33,0,0,0,0,0,0,0,0.42,0,0.23,1,0.11,1,0.9,1,0.04,0,0,0
208.763,0.98,0.72,1,0.71,1,0.31,1,0.06,0,0.04,0,1.79,1,0.28,0,0.62,0,0,0,0.11,0,0,0,0.82,0,0.35,1,0.42,1,0.51,0,0,0,0,0
209.097,0.98,0.87,1,0.39,0,0.49,1,0,0,0,0,1.51,1,0.03,0,0.05,0,0,0,0,0,0,0,0.42,0,0.03,0,0.18,1,0.83,1,0.52,0,0,0
209.43,0.98,0.6,1,0.17,0,0.26,1,0,0,0,0,1.1,1,0,0,0.02,0,0,0,0,0,0,0,0.35,0,0.2,1,0.21,1,0.36,0,0.12,0,0,0
209.764,0.98,0.77,1,0.05,0,0.16,1,0,0,0,0,0.81,1,0,0,0,0,0,0,0,0,0,0,0.3,0,0.04,1,0.14,1,0.09,0,0.09,0,0,0
210.097,0.98,0.59,1,0.18,0,0.01,1,0,0,0.13,0,1.21,1,0.15,0,0.14,0,0,0,0.01,0,0,0,0.42,0,0.06,1,0.04,1,0.33,0,0,0,0.3,0
210.431,0.88,0.81,1,0.51,0,0.38,1,0,0,0,0,1.6,1,0.47,0,0.21,1,0,0,0.17,0,0,0,0.42,0,0.24,1,0,1,0.21,0,0,0,0.25,0
210.764,0.88,0.6,1,0.57,0,0.31,1,0.1,0,0.09,0,1.81,1,0.63,0,0.68,1,0,0,0.3,0,0,0,0.39,0,0.23,1,0.08,1,0.17,0,0.07,0,0.12,0
211.098,0.88,0.68,0,0.25,0,0.18,1,0,0,0,0,1.23,1,0,0,0.08,0,0,0,0,0,0,0,0.36,0,0.09,1,0.29,1,0,0,0,0,0,0
211.431,0.88,0.89,1,0,0,0.34,1,0,0,0,0,1.02,1,0,0,0,0,0,1,0.09,0,0,0,0.39,0,0.09,0,0.07,1,0,0,0,0,0,0
211.765,0.98,0.92,1,0.04,0,0.08,1,0,0,0,0,1.15,1,0,0,0,0,0,0,0.01,0,0,0,0.35,0,0,1,0,1,0.03,0,0,0,0.37,0
212.098,0.98,1.05,1,0.01,0,0,1,0,0,0,0,1.23,1,0.31,0,0,0,0,0,0.1,0,0,0,0.19,0,0.07,1,0,1,0,0,0.05,0,0.72,0
212.432,0.88,1.06,1,0.03,0,0.15,1,0,0,0,0,1.45,1,0.08,0,0,0,0,0,0.17,0,0,0,0.37,0,0.02,1,0,1,0.03,0,0.1,0,0.4,0
212.765,0.88,0.88,1,0.06,0,0.3,1,0,0,0.05,0,1.58,1,0.1,0,0.03,0,0,0,0.08,0,0,0,0.15,0,0.04,0,0,1,0.01,0,0,0,0.56,0
213.099,0.98,0.81,1,0.01,0,0.08,1,0,0,0.03,0,1.41,1,0,0,0,0,0,0,0.09,0,0,0,0.12,0,0,0,0,1,0,0,0.03,0,0.78,0
213.432,0.98,0.97,1,0.11,0,0.38,1,0,0,0.01,0,1.28,1,0.15,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,1,0.06,0,0,0,0.21,0
213.766,0.98,0.94,1,0.01,0,0.39,1,0,0,0.01,0,1.41,1,0.01,0,0,0,0,0,0.17,0,0,0,0.1,0,0.09,1,0,1,0,0,0.02,0,0.52,0
214.099,0.98,0.98,1,0,0,0.25,1,0,0,0,0,1.41,1,0.11,0,0,0,0,0,0.03,0,0,0,0.16,0,0.04,0,0,1,0,0,0.03,0,0.25,0
214.432,0.98,0.83,1,0.03,0,0,1,0,0,0,0,1.45,1,0.02,0,0,0,0,0,0.06,0,0,0,0.38,0,0,0,0,1,0,0,0.03,0,0.68,0
214.766,0.88,0.75,1,0,0,0.1,1,0,0,0.01,0,1.58,1,0.02,0,0.01,0,0,0,0.14,0,0,0,0.33,0,0,1,0,1,0,0,0.07,0,0.8,0
215.099,0.88,0.73,1,0.1,0,0.6,1,0,0,0.01,0,1.59,1,0,0,0,0,0,0,0.1,0,0,0,0.09,0,0,0,0,1,0,0,0.01,0,0.88,0
215.433,0.88,0.89,1,0.05,0,0,1,0,0,0.01,0,1.39,1,0.12,0,0,0,0,0,0.04,0,0,0,0.12,0,0,1,0,1,0.03,0,0,0,0.79,0
215.766,0.88,0.79,1,0.19,0,0,1,0,0,0.03,0,1.86,1,0.17,0,0,0,0,0,0.16,0,0,0,0.36,0,0,1,0,1,0.01,0,0.05,0,0.72,0
216.1,0.98,0.97,1,0.2,0,0.04,1,0,0,0.01,0,1.83,1,0.05,0,0,0,0,0,0.2,0,0,0,0.33,0,0,1,0,1,0,0,0.02,0,0.33,0
216.433,0.98,0.64,1,0.11,0,0,1,0,0,0,0,1.46,1,0.1,0,0,0,0,0,0.03,0,0,0,0.48,0,0.03,1,0.02,1,0.06,0,0,0,0.47,0
216.767,0.82,0.4,0,0,0,0.06,0,0,0,0.04,0,1.16,1,0,0,0,0,0,0,0.22,0,0,0,0.55,0,0,0,0,1,0.02,0,0.52,0,0.01,0
217.1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217.434,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217.767,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218.101,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218.434,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218.768,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.101,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.435,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.768,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220.102,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220.435,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220.769,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221.102,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221.436,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221.769,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222.103,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222.436,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222.77,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223.103,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223.437,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223.77,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224.104,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224.437,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224.771,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225.104,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225.438,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225.771,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226.105,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226.438,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226.772,0.88,0.68,1,0,0,0.06,1,0.11,0,0.06,0,0.67,1,0.22,0,0,0,0,1,0,0,0.51,0,0,0,0,0,0,0,1.62,1,1.69,0,0,0
227.105,0.88,0.89,1,0,0,0.2,1,0.36,0,0,0,0.47,0,0.27,0,0,0,0,1,0,0,0.64,0,0.15,0,0,0,0,0,1.95,1,1.74,1,0,0
227.439,0.98,1.09,1,0,0,0.64,1,0.11,0,0,0,0,0,0.62,0,0,0,0,1,0,0,2.02,0,0,0,0,0,0,0,2.42,1,1.48,1,0,0
227.772,0.98,0.59,0,0,0,0.04,0,0.04,0,0,0,0,0,0.45,1,0,0,0.34,1,0,0,1.05,0,0.18,0,0,0,0,0,1.89,1,0.74,0,0,0
228.105,0.98,0.51,0,0,0,0,1,0,0,0,0,0,0,0.61,1,0,0,0.39,1,0,0,1.77,0,0.56,0,0.18,0,0.44,0,2.26,0,0.8,0,0,0
228.439,0.98,0.4,0,0,0,0.08,1,0,0,0,0,0,0,0.66,0,0,0,0.16,0,0,0,2.78,0,0.67,0,0,0,0.26,0,1.93,0,1.05,0,0,0
228.772,0.98,0.27,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0,0.08,0,0,0,1.32,0,1.08,0,0,0,0.19,0,1.73,0,0.78,0,0,0
229.106,0.98,0.13,0,0,0,0.03,0,0,0,0,0,0,0,0.33,0,0,0,0.53,0,0,0,0.32,0,1.01,0,0,0,0.5,0,1.63,0,1.53,0,0,0
229.439,0.98,0.17,0,0,0,0.29,1,0,0,0,0,0,0,0.4,0,0,0,0.31,0,0,0,2.78,0,0.7,0,0,0,0.89,0,0.92,0,0.64,0,0,0
229.773,0.98,0.16,0,0,0,0,0,0.07,0,0,0,0,0,0.17,0,0,0,0.41,0,0,0,4.02,0,1.26,0,0.64,0,0.72,0,2.72,0,0.82,0,0,0
230.106,0.98,0.27,0,0,0,0.01,1,0,0,0,0,0,0,0.33,0,0,0,0.5,0,0,0,2.48,0,1.72,0,0,0,0.78,0,0.9,0,0.58,0,0,0
230.44,0.98,0.32,0,0,0,0,1,0.06,0,0,0,0,0,0.3,1,0,0,0.38,0,0,0,1.38,0,1.93,0,0,0,0.79,0,1.4,0,1.69,0,0,0
230.773,0.98,0.11,0,0,0,0,0,0.09,0,0,0,0,0,0.02,0,0,0,0.34,0,0,0,0.97,0,1.71,0,0,0,0.86,0,1.21,0,1.32,0,0,0
231.107,0.98,0.46,0,0,0,0,0,0,0,0,0,0,0,0.65,1,0,0,0.35,0,0,0,2.68,0,0.52,0,0,0,0.62,0,0.69,0,0.78,0,0,0
231.44,0.98,0.01,0,0,0,0,0,0,0,0,0,0,0,0.54,1,0,0,0.31,0,0,0,1.84,0,0.78,0,0,0,0.12,0,0.69,0,1.17,0,0,0
231.774,0.98,0.2,0,0,0,0.04,0,0,0,0,0,0,0,0.31,0,0,0,0.66,0,0,0,3.47,0,1.05,0,0,0,0.39,0,1.67,0,1.61,0,0.1,0
232.107,0.98,0.26,0,0,0,0.03,1,0,0,0,0,0,0,0.15,0,0,0,0.44,1,0,0,2.97,0,0,0,0.13,0,0.21,0,0.84,0,0.21,0,0.08,0
232.441,0.98,0.27,0,0,0,0.13,1,0,0,0,0,0,0,0.66,1,0.32,1,0.19,1,0,0,0,0,0.62,0,0,0,0.1,0,1.27,0,2.79,1,0,0
232.774,0.98,0.61,0,0,0,0,0,0,0,0,0,0.21,1,0,0,0,0,0.19,1,0,0,0,0,0,0,0,0,0,0,0.11,0,1.19,1,0,0
233.108,0.98,1,0,0,0,0.05,1,0,0,0,0,0.5,1,0.05,0,0,0,0,1,0,0,0,0,0.23,0,0,0,0,0,0.08,0,1.1,0,0.11,1
233.441,0.98,0.87,0,0,0,0,0,0,0,0,0,0.7,1,0,0,0,0,0,1,0,0,0,0,0.28,0,0,0,0,0,0,0,1.06,0,0,1
233.775,0.98,1.05,0,0,0,0,0,0,0,0,0,1.24,1,0.29,0,0,0,0,1,0,0,0,0,0.32,0,0,0,0,0,0,0,0.54,0,0.51,1
234.108,0.98,0.81,0,0,0,0,0,0,0,0,0,1.29,1,0.28,0,0,0,0,1,0,0,0,0,0.37,0,0,0,0,1,0.05,0,0.85,0,0.59,1
234.442,0.93,1.38,1,0,0,0,0,0,0,0,0,1.52,1,0.45,1,0,0,0,1,0,0,0,0,0.46,0,0,0,0,1,0.05,0,0.8,0,0.8,1
234.775,0.88,1.19,0,0,0,0,0,0,0,0,0,1.44,1,0.49,1,0,1,0,1,0.01,0,0,0,0.38,0,0,0,0,1,0.02,0,0.74,0,0.69,1
235.109,0.88,0,0,0,0,0,0,0,0,0,0,0.36,0,0,0,0,0,0,1,0,0,0.23,0,0.13,0,0,0,0,0,1.65,1,1.79,1,0.01,0
235.442,0.98,0.06,0,0,0,0.26,1,0,0,0,0,0,0,0.44,0,0,0,0.2,0,0,0,3.08,0,0.6,0,0,0,1.06,0,1.59,0,1.48,0,0,0
235.776,0.98,0.25,0,0,0,0.81,1,0.14,0,0,0,0,0,0.42,0,0,0,0.31,0,0,0,2.89,0,1.65,0,0,0,1.38,0,0.69,0,2.8,0,0,0
236.109,0.98,0.56,0,0,0,0.26,1,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0,2.19,0,0.59,0,0.49,0,0.1,0,2.12,0,1.31,0,0,0
236.443,0.98,0.94,0,0.14,0,0.72,1,0,0,0,0,0.1,0,0.24,1,0,0,0,1,0,0,2.11,0,0.16,0,0.27,0,0.02,0,2.22,1,1.11,0,0,0
236.776,0.88,0.9,1,0.01,0,0.77,1,0.24,0,0,0,0.02,0,0.41,1,0,0,0,1,0,0,1.31,0,0.32,0,0,0,0.02,0,1.95,1,1.29,0,0,0
237.11,0.88,0.79,1,0,0,0,1,0.11,0,0,0,0.22,0,0.39,0,0,0,0,1,0,0,0,0,0.57,0,0,0,0,0,2.32,1,1.91,1,0,0
237.443,0.98,0.48,0,0,0,0,1,0,0,0,0,0.39,1,0,0,0,0,0.04,1,0,0,0,0,0.54,0,0,0,0.59,0,0.39,0,1.54,1,0,0
237.777,0.98,0.73,0,0,0,0,0,0.12,0,0,0,0.68,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.47,1,1.54,1,0,0
238.11,0.98,0.8,1,0,0,0.12,1,0.18,0,0,0,0.54,0,0,0,0,0,0,1,0.09,0,1.87,0,0,0,0,0,0,0,0.87,0,1.24,1,0,0
238.444,0.98,0.78,1,0,0,0.05,1,0.31,0,0,0,0.13,0,0,0,0,0,0.03,1,0.23,0,0.51,0,0,0,0,0,0,0,0.93,0,1.94,1,0,0
238.777,0.88,1.39,1,0.04,0,0.73,1,0.13,0,0,0,0,0,1.01,1,0.27,0,0.05,1,0,0,3.09,0,0,0,0,0,0,0,2.83,1,0.18,1,0,0
239.111,0.88,0,0,0,0,0.07,0,0,0,0,0,0.09,0,0.51,1,0,0,0.2,1,0,0,0,0,0.56,0,0,0,0.39,0,1.36,0,2.23,0,0.08,0
239.444,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239.778,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240.111,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240.445,0.77,0,1,0.3,0,1.23,1,0,0,1.08,1,0,0,0.2,1,2.1,1,1.15,1,0.09,0,0,0,0.5,0,0,0,0.22,0,2.01,1,1.57,1,0.13,0
240.778,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241.111,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241.445,0.82,0.36,0,0.47,0,0.36,1,0.05,0,0.04,0,1.58,1,0.22,0,0.22,0,0,0,0.48,0,0,0,0.26,0,0.06,0,0.49,0,0.4,0,0.7,0,0,0
241.778,0.77,0.25,0,0.73,1,0.53,1,0.15,1,0.94,0,0,0,0,0,1.03,0,0,0,0.59,1,0.73,0,0.53,0,0,0,0.66,0,0.47,1,0,0,0,0
242.112,0.98,0,0,0,0,0,0,0.04,0,0.16,0,1.55,1,0,0,0.28,0,0,0,0.64,1,1.19,0,1.66,1,0,0,1.27,0,1.74,0,1.84,0,0.01,0
242.445,0.88,0.17,1,0,0,0,0,0,0,0.08,0,1.44,1,0.05,0,0.45,0,0,0,0.35,1,1.18,0,1.5,1,0.03,0,0.74,0,1.07,0,1.33,0,0.19,0
242.779,0.98,0.84,1,0,0,0.16,0,0,0,0,0,0.95,1,0,0,0,0,0,1,0,0,0.53,1,0.43,1,0,0,0,0,0.51,1,0.5,1,0.57,1
243.112,0.98,0.86,0,0,0,0.41,0,0,0,0,0,0.31,1,0,0,0,0,0,1,0,0,0,1,0.58,1,0,0,0,0,0.4,0,0.56,1,0.04,1
243.446,0.98,0.96,1,0,0,0.09,0,0,0,0,0,0.32,1,0,0,0,0,0,1,0,0,0.11,1,0.33,0,0,0,0,0,0.12,0,0.07,0,0.09,1
243.779,0.98,0.94,1,0,0,0.05,0,0,0,0,0,0.72,1,0,0,0,0,0.36,1,0,0,0.55,1,0.42,0,0,0,0,0,1.08,1,0.5,0,0.73,1
244.113,0.98,1.2,1,0,0,0.6,0,0,0,0,0,0.63,1,0,0,0,0,0,0,0,0,0.22,1,0.65,1,0,0,0,0,0.73,0,0.38,0,0.68,1
244.446,0.98,1.01,1,0,0,0.03,1,0,0,0,0,0.95,1,0,0,0,0,0,0,0,0,0.06,1,0.25,0,0,0,0,0,0.14,0,0.09,0,0.43,1
244.78,0.98,0.58,0,0,0,0,0,0,0,0,0,0.74,1,0,0,0,0,0,1,0,0,0.2,1,0.8,1,0,0,0,0,0,0,0.18,0,0.07,1
245.113,0.98,0.91,0,0,0,0.09,0,0,0,0,0,0.81,1,0,0,0,0,0,1,0,0,0.23,1,0.55,1,0,0,0,0,0.05,0,0.39,0,0,1
245.447,0.98,0.71,1,0,0,0,0,0,0,0,0,0.75,1,0,0,0,0,0.56,1,0,0,0.5,1,0.63,1,0,0,0,0,0.19,0,0.05,0,0.86,1
245.78,0.98,0.88,1,0,0,0.14,0,0,0,0,0,0.58,1,0,0,0,0,0,1,0,0,0.24,1,0.31,1,0,0,0,0,0.22,0,0.02,0,0.12,1
246.114,0.98,0.87,1,0,0,0.09,0,0,0,0,0,0.76,1,0,0,0,0,0,1,0,0,0.32,1,0.62,1,0,0,0,0,0.09,0,0.2,0,0,1
246.447,0.98,0.69,1,0,0,0,0,0,0,0,0,0.82,1,0,0,0,0,0,1,0,0,0.4,0,0.23,0,0,0,0,0,0.08,0,0.06,0,0.1,1
246.781,0.98,0.71,1,0,0,0.03,0,0,0,0,0,0.81,1,0,0,0,0,0,0,0,0,0.16,0,0.18,0,0,0,0,0,0.3,0,0.11,0,0,1
247.114,0.98,0.77,0,0,0,0.02,0,0,0,0,0,0.81,1,0,0,0,0,0,1,0,0,0.13,1,0.44,0,0,0,0,0,0.04,0,0.1,0,0,0
247.448,0.98,0.98,1,0,0,0.03,0,0,0,0,0,0.73,1,0,0,0,0,0,1,0,0,0.37,1,0.37,0,0,0,0,0,0.41,0,0.22,0,0.06,1
247.781,0.98,0.85,0,0,0,0.06,0,0,0,0,0,0.79,1,0,0,0,0,0,1,0,0,0.26,1,0.38,1,0,0,0,0,0.53,0,0.29,0,0,1
248.115,0.98,0.87,1,0,0,0.11,0,0,0,0,0,0.73,1,0,0,0,0,0,1,0,0,0.32,1,0.25,0,0,0,0,0,0.49,0,0.4,0,0,1
248.448,0.98,0.96,1,0,0,0.1,0,0,0,0,0,0.82,1,0,0,0,0,0,0,0,0,0.44,1,0.41,0,0,0,0,0,0.43,0,0.54,0,0,1
248.782,0.98,0.84,1,0,0,0,0,0,0,0,0,0.72,1,0,0,0,0,0,1,0,0,0.38,1,0.31,0,0,0,0,0,0.59,0,0.35,0,0,1
249.115,0.98,0.94,1,0,0,0.18,0,0,0,0,0,0.67,1,0,0,0,0,0,1,0,0,0.63,1,0.53,1,0,0,0,0,0.44,0,0.13,0,0.02,1
249.449,0.77,0.54,0,0,0,0,0,0,0,0,0,0.57,1,0,0,0,0,0,1,0,0,0,0,0.58,1,0,0,0.1,0,0,0,0.76,0,0,0
249.782,0.88,1.14,1,0,0,0.5,1,0.01,0,0,0,0,0,0.63,0,0,0,0,1,0,0,1.36,0,0,0,0,0,0,0,2.34,1,1.07,0,0.07,0
250.116,0.98,1.2,1,0,0,0.32,1,0.14,0,0,0,0,0,0.45,1,0,0,0,1,0,0,1.07,0,0,0,0,0,0,0,3.05,1,1.6,1,0,0
